SE123456, CSI, labGrade:8.6, progressTestGrade:7.9, finalTestGrade:5.3
SE123444, ABC, labGrade:6.0, progressTestGrade:7.0, finalTestGrade:8.0
SE444444, CEA, labGrade:10.0, progressTestGrade:9.0, finalTestGrade:8.0
SE183659, OSG202, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:9.5
SE183659, MAD, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE183659, PRO192, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE183659, CSI, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE183659, Math, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE183659, CEA, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE667788, Math, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE987654, PRO192, labGrade:10.0, progressTestGrade:9.0, finalTestGrade:8.0
SE333333, 5, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE333333, PRO192, labGrade:8.0, progressTestGrade:8.0, finalTestGrade:8.0
SE333333, SSG104, labGrade:1.0, progressTestGrade:2.0, finalTestGrade:3.0
SE333333, Math, labGrade:7.0, progressTestGrade:7.0, finalTestGrade:7.0
SE333333, CEA, labGrade:9.0, progressTestGrade:9.0, finalTestGrade:9.0
SE444111, 5, labGrade:7.0, progressTestGrade:7.0, finalTestGrade:9.0
SE444111, PRO192, labGrade:8.0, progressTestGrade:5.0, finalTestGrade:9.0
SE444111, CSI, labGrade:10.0, progressTestGrade:9.0, finalTestGrade:8.0
SE444111, Math, labGrade:10.0, progressTestGrade:1.0, finalTestGrade:10.0
