SE144244, MAE101, labGrade:10.0, progressTestGrade:9.0, finalTestGrade:8.0
SE184659, MAD101, labGrade:8.0, progressTestGrade:8.0, finalTestGrade:8.7
SE555555, PRF192, labGrade:6.0, progressTestGrade:6.0, finalTestGrade:10.0
SE555555, MAE101, labGrade:8.0, progressTestGrade:9.0, finalTestGrade:10.0
SE183659, OSG202, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE183659, PRO192, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE183659, MAE101, labGrade:10.0, progressTestGrade:9.0, finalTestGrade:9.5
SE183659, SSG104, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE183659, MAD101, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE183659, NWC203c, labGrade:10.0, progressTestGrade:9.5, finalTestGrade:9.8
SE234432, MAD101, labGrade:10.0, progressTestGrade:9.0, finalTestGrade:8.0
SE987654, PRO192, labGrade:10.0, progressTestGrade:9.0, finalTestGrade:8.0
SE888999, PRF192, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE888999, PRO192, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
SE888999, MAE101, labGrade:10.0, progressTestGrade:9.0, finalTestGrade:10.0
SE333333, PRO192, labGrade:8.0, progressTestGrade:8.0, finalTestGrade:8.0
SE333333, SSG104, labGrade:1.0, progressTestGrade:2.0, finalTestGrade:3.0
SE444111, PRO192, labGrade:8.0, progressTestGrade:5.0, finalTestGrade:9.0
SE888999, OSG202, labGrade:10.0, progressTestGrade:10.0, finalTestGrade:10.0
